_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,__v,response,theword
6636fe74bf39dcf9df9406c4,5897,instructions,0,5897,0,653048d5d815e00c2baa7296,0,,
6636fe74bf39dcf9df9406c6,1538,instructions,1,7436,0,653048d5d815e00c2baa7296,0,,
6636fe74bf39dcf9df9406c8,1318,html-button-response,2,8755,0,653048d5d815e00c2baa7296,0,0,
6636fe74bf39dcf9df9406ca,5724,survey-multi-choice,4,18605,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",calf
6636fe74bf39dcf9df9406cc,2698,survey-multi-choice,3,11455,0,653048d5d815e00c2baa7296,0,"{""Q0"":""color""}",A square belongs to a category that is organized by
6636fe74bf39dcf9df9406ce,3563,survey-multi-choice,5,22169,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",
6636fe74bf39dcf9df9406d0,2835,survey-multi-choice,6,25005,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",tofu
6636fe74bf39dcf9df9406d2,3488,survey-multi-choice,7,28494,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",sugar
6636fe74bf39dcf9df9406d4,1804,survey-multi-choice,8,30298,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",dumpling
6636fe74bf39dcf9df9406d6,1409,survey-multi-choice,9,31708,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",dustpan
6636fe74bf39dcf9df9406d8,2440,survey-multi-choice,11,35431,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",voice recorder
6636fe74bf39dcf9df9406da,1282,survey-multi-choice,10,32990,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",sneaker
6636fe74bf39dcf9df9406dc,1342,survey-multi-choice,12,36774,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",panda
6636fe74bf39dcf9df9406de,1250,survey-multi-choice,13,38025,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",gun
6636fe74bf39dcf9df9406e0,2055,survey-multi-choice,14,40080,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",pot
6636fe74bf39dcf9df9406e2,1447,survey-multi-choice,15,41528,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",dog
6636fe74bf39dcf9df9406e4,1903,survey-multi-choice,16,43431,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",rope
6636fe74bf39dcf9df9406e6,7256,survey-multi-choice,17,50688,0,653048d5d815e00c2baa7296,0,"{""Q0"":""material""}",gas
6636fe74bf39dcf9df9406e8,2015,survey-multi-choice,18,52704,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",kefir
6636fe74bf39dcf9df9406ea,3253,survey-multi-choice,19,55958,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",puddle
6636fe74bf39dcf9df9406ec,35745,survey-multi-choice,20,91702,0,653048d5d815e00c2baa7296,0,"{""Q0"":""material""}",soil
6636fe74bf39dcf9df9406ee,1523,survey-multi-choice,21,93226,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",thumb
6636fe74bf39dcf9df9406f0,1532,survey-multi-choice,22,94758,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",hedgehog
6636fe74bf39dcf9df9406f2,1895,survey-multi-choice,23,96653,0,653048d5d815e00c2baa7296,0,"{""Q0"":""none of these""}",coke
6636fe74bf39dcf9df9406f4,15809,html-button-response,25,115276,0,653048d5d815e00c2baa7296,0,0,
6636fe74bf39dcf9df9406f6,2813,survey-multi-choice,24,99466,0,653048d5d815e00c2baa7296,0,"{""Q0"":""color""}",lavender
6636fe74bf39dcf9df9406f8,5642,survey-multi-choice,26,120918,0,653048d5d815e00c2baa7296,0,"{""Q0"":""count noun""}",Would you like a chair? chair is a
6636fe74bf39dcf9df9406fa,3206,survey-multi-choice,27,125778,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",crocodile
6636fe74bf39dcf9df9406fc,1850,survey-multi-choice,28,127628,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Count noun""}",rice
6636fe74bf39dcf9df9406fe,2358,survey-multi-choice,29,129987,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Mass noun""}",noodles
6636fe74bf39dcf9df940700,2509,survey-multi-choice,30,132496,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Mass noun""}",sugar
6636fe74bf39dcf9df940702,1577,survey-multi-choice,31,134073,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Count noun""}",coke
6636fe74bf39dcf9df940704,3010,survey-multi-choice,32,137084,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",hanger
6636fe74bf39dcf9df940706,1426,survey-multi-choice,33,138510,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",gorilla
6636fe74bf39dcf9df940708,3730,survey-multi-choice,34,142240,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Mass noun""}",scallion
6636fe74bf39dcf9df94070a,1417,survey-multi-choice,35,143658,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Count noun""}",goat
6636fe74bf39dcf9df94070c,1463,survey-multi-choice,36,145122,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",eyebrow
6636fe74bf39dcf9df94070e,1759,survey-multi-choice,37,146881,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Mass noun""}",gun
6636fe74bf39dcf9df940710,1926,survey-multi-choice,38,148808,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",seesaw
6636fe74bf39dcf9df940712,1773,survey-multi-choice,39,150581,0,653048d5d815e00c2baa7296,0,"{""Q0"":""Unclear/unknown""}",taxi
